评论内容,评价
冰基本都软化了，没其他评论说的到手冰冻，包装严实，日期新鲜,好评
多次回购，品质好，日期新，包装好，收到冰袋都没化。必须点赞！,好评
品质相当好，可能要开启无限回购模式了。,好评
最近这两次带白色脂肪太油能处理掉就好了,好评
实惠，以后还会再买,好评
日期新，包装好，拿到手冰还没化完，多次回购。,好评
蒸着吃少油低脂  体重管理无限回购,好评
多次下单，肉质不错。,好评
非常棒的三文鱼，肉厚肥嫩，切片的形状也容易煎，会回购,好评
生产日期近，大西洋鲑鱼，中段大多，快递包装冰袋冷藏好，口感不错，鱼皮银白结实，正品，比前几天山姆买的要好无论品质和价格，这样的超市有希望支持。,好评
宝贝收到了质量挺好。,好评
味道鲜美，做法简单,好评
配送快，送上门，日期新，到手冰冻，包装完好,好评
日期非常新鲜，4月13号生产的，切的也很漂亮。,好评
配送快，送上门，日期新，到手冰冻,好评
冷冻的很好,好评
好吃，新鲜，值得推荐。,好评
回购的，物流配送也好，送到家门口冰都没化掉,好评
三文鱼块很漂亮,好评
到手的三文鱼，冰冻依旧，新鲜依旧，值得购买。,好评
非常好一直回购,好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
一如既往地好,好评
必须给好评，买过几个牌子，这个质量最好。鱼鳞刮净的，肉质不错。洗净用厨房纸吸干水，盐和胡椒腌好，空气炸锅180度，12+6分钟。,好评
非常好，很大的鱼,好评
第一次购买，确实质量不错，用来直接简单煎一下，很方便。,好评
必须点赞！一袋三文鱼配了6袋干冰。收到货的时候干冰已经挥发，但三文鱼还是冷冻状态，很满意！吃完再买👍,好评
多次购买，好评！,好评
京东一早就送货上门。厚切的5块，平均20一个，很划算,好评
商品很好。冷冻食品配送宜早，这次收到时冰全化啦。,好评
三文鱼块煎食口感不错,好评
三文鱼很好，包装完整，一点都没有化冻。,好评
食物近期包装。看起来紧实新鲜。,好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
三文鱼不错！,好评
看着还行吧，99合适,好评
非常好，很满意，赞,好评
多次购买质量很好满意好评,好评
"到手冰冻,肥美鲜嫩",好评
很好，已经购买多次,好评
质量不错，内包装很好，分5个小包装，便于烹饪，滿意，收藏后吃完再回购。值得五星好评！,好评
棒棒的，！,好评
很不错，用干冰保鲜，都还没化呢,好评
到手冰冻，日期新鲜，全部中段，非常滿意。,好评
"到手冰冻,清爽紧实,干净卫生",好评
包装完好，虽然隔夜运输仍保持冰冻状态。鱼块质量好，跟我在美国吃的同质三文鱼没区别。,好评
发货快，收到一点没化，日期新鲜。好评,好评
产品质量很好日期新鲜非常满意好评,好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
回购的，特别好,好评
非常新鲜的三文鱼，比之前在盒马x买的品质都好，强烈推荐,好评
特别方便，一块正好一个人。营养够了，省时省力,好评
看上去很新鲜，生产日期8月初，很好,好评
"肥美鲜嫩,清爽紧实,干净卫生",好评
OK,好评
很好，冻得很结实,好评
"烤三文鱼永远不会辜负你。
这个三文鱼块头很大，单个都有200g。",好评
三文鱼非常好，总共有五块儿，都是独立包装。很满意  外卖辛苦了。又下雨天又热的。,好评
"到手冰冻,肥美鲜嫩",好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
很好吃的很新鲜,好评
"肥美鲜嫩,清爽紧实,干净卫生",好评
非常满意，好评好评！,好评
大份划算，新鲜肥美，刺己去除,好评
食材比较新鲜,好评
非常好的。量也很足,好评
三文鱼🍣日期好,好评
出乎意料的新鲜，清蒸了二块，鲜美无比。会回购,好评
"到手冰冻,肥美鲜嫩,干净卫生",好评
收到货，东西都是冻的硬邦邦的！吃后再追评！盒马购物很棒！必须好评啊！,好评
日期新鲜,好评
"日期新鲜,配送及时,经常回购",好评
大大的5块，干净。,好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
"到手冰冻,清爽紧实",好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
"肉质松散,鱼尾多",差评
好评是给盒马小二的。,好评
看着挺大块的，应该不错,好评
"到手冰冻,干净卫生",好评
"到手冰冻,肥美鲜嫩,清爽紧实,干净卫生",好评
干净卫生,好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
三文鱼很不错的！,好评
生鱼片，煎着吃都还不错。,好评
"到手冰冻,肥美鲜嫩,鲜甜滑爽,干净卫生",好评
很不错，三文鱼比其他鱼好吃，经常买,好评
"非常新鲜,肉质鲜美,包装完好,性价比高",好评
"肥美鲜嫩,清爽紧实,干净卫生",好评
不错，送到都是冻着的,好评
发货快，第二天到，煎三文鱼味道好，鱼肉鲜美,好评
冷冻包装完好，产品质量上乘，值得回购！,好评
配送服务及时，态度亲和,好评
大块完整，很好,好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
"到手冰冻,肥美鲜嫩",好评
"到手冰冻,清爽紧实,鲜甜滑爽",好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
价格不贵，自营品很放心,好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
这次的三文鱼品质不错，满意,好评
日期新鲜，冰冻状态，送货及时雨,好评
很棒，日期新鲜，是6月7号的,好评
一如既往的好👍以为又是和其他在盒马云超下单的一样，直接存小区丰巢柜自提。没想到快递小哥先电话问家里有没有人，然后送到家门口。小泡沫箱里装了2袋干冰，开盖一点没化冻👍日期是今年4月的，满意👍,好评
很好，与描述一致。价廉物美，方便。,好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
去鳞去刺，非常好的一款产品。,好评
收到三文鱼五块中段，非常好👍,好评
干净卫生,好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
外表看色质很好，冰冻保鲜。,好评
切得很均匀，品相非常漂亮，肉质也很不错,好评
很大的三文鱼段、好评卜,好评
"到手冰冻,肥美鲜嫩,鲜甜滑爽,干净卫生",好评
"到手冰冻,肥美鲜嫩",好评
日期新鲜，包装完好,好评
日期很新，三月的，很大块，看上去也很新鲜。,好评
"肉质紧实,鲜甜Q弹,分量足称,性价比高",好评
收到还没吃，但外观非常好，一大袋里有五小块，每一块都整整齐齐，大小均匀，看着品相就很好,好评
"到手冰冻,清爽紧实,鲜甜滑爽",好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
第二次购买，物美价廉，不错，还会再买。,好评
nice,好评
"清爽紧实,鲜甜滑爽,干净卫生",好评
"到手冰冻,清爽紧实,鲜甜滑爽",好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
回购,好评
"到手冰冻,肥美鲜嫩,清爽紧实,干净卫生",好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
"到手冰冻,干净卫生",好评
"肥美鲜嫩,清爽紧实,干净卫生",好评
"到手冰冻,鲜甜滑爽,干净卫生",好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
化冻,差评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
已经吃了。很好。,好评
三文鱼冰冻的，发货很快，好评,好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
很好👍，物流也很快，三纹鱼包装很好也很新鲜,好评
"到手冰冻,肥美鲜嫩,干净卫生",好评
"肥美鲜嫩,鲜甜滑爽,干净卫生",好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
多次回购,好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
颜色很红 不知道为啥 以前买冷冻三文鱼没有这么红,好评
看上去非常好看，满意,好评
"清爽紧实,鲜甜滑爽,干净卫生",好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
目前算是性价比挺不错的三文鱼块，而且味道也不错,好评
非常好啊 超出预期,好评
"到手冰冻,鲜甜滑爽,干净卫生",好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
"变质变色发臭,肉质松散",差评
"到手冰冻,肥美鲜嫩,鲜甜滑爽,干净卫生",好评
好好吃这个三文鱼 不错,好评
"日期新鲜,大小均匀,包装完好",好评
"到手冰冻,肥美鲜嫩,清爽紧实,干净卫生",好评
搞活动时买的三文鱼，优惠力度大，份量足，而且是已经帮你切成一小块一小块包装的，方便食用。日期很新鲜。,好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
"肥美鲜嫩,清爽紧实,干净卫生",好评
"到手冰冻,肥美鲜嫩,鲜甜滑爽",好评
"到手冰冻,肥美鲜嫩,鲜甜滑爽",好评
确实可以,好评
"到手冰冻,清爽紧实,鲜甜滑爽",好评
不知道为什么颜色很红，塑料袋里面还有红色水。吃起来还行,好评
"到手冰冻,肥美鲜嫩,鲜甜滑爽,干净卫生",好评
"到手冰冻,清爽紧实,干净卫生",好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
"到手冰冻,肥美鲜嫩,鲜甜滑爽,干净卫生",好评
"到手冰冻,清爽紧实,鲜甜滑爽,干净卫生",好评
"到手冰冻,肥美鲜嫩,鲜甜滑爽,干净卫生",好评
"到手冰冻,肥美鲜嫩,清爽紧实",好评
！,好评
价格合理,好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
"肥美鲜嫩,清爽紧实,鲜甜滑爽,干净卫生",好评
"到手冰冻,肥美鲜嫩,清爽紧实,鲜甜滑爽",好评
